,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,9392547770,Run,2023-07-05T12:23:20Z,Run,6751.7,1974,1974,5.1,"[53.470867, -2.258767]",activity_3543933426_strava.gpxurfnJt.gpx
1,9358020290,Run,2023-06-29T18:03:21Z,Run,10172.9,2917,2924,18.1,"[53.472017, -2.260157]",activity_3532282859_strava.gpxZXEOyz.gpx
2,9326441187,Hike,2023-06-24T09:44:04Z,Hike,11127.4,13036,21223,754.1,"[53.080527, -4.021036]",activity_3521768917_strava.gpx7zhyXM.gpx
3,9326435161,Morning Hike,2023-06-24T09:41:53Z,Hike,12523.7,13966,20418,768.3,"[53.08052538894117, -4.021011684089899]",AC15AB90-A3B1-45FC-968F-77AE8EDCD0FF-activity.fit
4,9309099597,Run,2023-06-21T18:28:11Z,Run,6744.0,1916,1922,8.9,"[53.471165, -2.258354]",activity_3515941608_strava.gpxNa4Uot.gpx
5,9309099210,Swim,2023-06-21T08:46:11Z,Swim,1100.0,1674,1674,0.0,[],
6,9215019696,Run,2023-06-06T17:49:30Z,Run,10039.3,3087,3091,20.5,"[53.471358, -2.261413]",activity_3484742324_strava.gpxOqpCCt.gpx
7,9194004606,Swim with Rhys,2023-06-03T14:01:14Z,Swim,150.0,1105,1105,0.0,[],
8,9180442346,Run,2023-06-01T07:56:36Z,Run,1824.6,563,563,0.0,"[53.471016, -2.258818]",activity_3473092878_strava.gpx2hDCda.gpx
9,9180275610,Run,2023-06-01T06:53:19Z,Run,1809.3,546,558,0.0,"[53.461019, -2.248203]",activity_3473004817_strava.gpxSfyI07.gpx
10,9180280592,Swim,2023-06-01T06:15:16Z,Swim,1100.0,1871,1871,0.0,[],
11,9164155837,Bank holiday half marathon ,2023-05-29T15:38:06Z,Run,21263.0,6834,6853,32.3,"[53.470761, -2.258739]",activity_3467097327_strava.gpxoUL751.gpx
12,9145403634,Run,2023-05-26T17:58:02Z,Run,9987.1,3160,3160,20.4,"[53.47117, -2.261229]",activity_3460915028_strava.gpxbH0zub.gpx
13,9126454450,Run,2023-05-23T18:04:53Z,Run,10435.5,3078,3078,26.4,"[53.471091, -2.261289]",activity_3454587224_strava.gpxqNiNJg.gpx
14,9101847902,Run,2023-05-19T17:40:34Z,Run,9801.7,2986,3003,19.9,"[53.47098, -2.261496]",activity_3446422836_strava.gpxNqEVcl.gpx
15,9060282104,Run,2023-05-12T17:52:54Z,Run,9997.9,3076,3076,18.0,"[53.470896, -2.262089]",activity_3432600184_strava.gpx0wtplb.gpx
16,9028278397,Hike,2023-05-07T11:40:32Z,Hike,15925.3,10774,14800,381.5,"[54.371035, -3.403104]",activity_3421554378_strava.gpxnJWvzB.gpx
17,9021046032,Hike,2023-05-06T10:59:48Z,Hike,11390.5,8402,11565,471.8,"[54.565967, -3.416306]",activity_3419401931_strava.gpxhtrbsF.gpx
18,8949659452,Run,2023-04-24T17:48:31Z,Run,9937.1,2976,2982,21.6,"[53.471112, -2.258951]",activity_3394600362_strava.gpxeFPUQC.gpx
19,8908433815,Longest run ft. multiple industrial estates and a sewage treatment plant,2023-04-17T17:55:50Z,Run,16975.5,5350,5398,41.2,"[53.472133, -2.263488]",activity_3378288627_strava.gpx54A2Dx.gpx
20,8861620461,Swim,2023-04-09T18:32:44Z,Swim,1475.0,1252,1252,0,[],
21,8829614040,Run,2023-04-03T18:07:07Z,Run,10019.8,2958,2963,22.1,"[53.471127, -2.258657]",activity_3351834356_strava.gpxezlWBb.gpx
22,8815296363,Run,2023-03-30T18:13:10Z,Run,9145.2,2644,2644,13.8,"[53.470862, -2.261853]",activity_3346853116_strava.gpxR5SLKc.gpx
23,8692069778,Run,2023-03-10T17:11:41Z,Run,9052.9,2687,2709,22.0,"[53.471134, -2.258417]",activity_3302828759_strava.gpxsmo4Gv.gpx
24,8654143024,Run,2023-03-03T17:53:18Z,Run,9950.9,2957,2957,13.9,"[53.47097, -2.261584]",activity_3288975381_strava.gpx1mjmPh.gpx
25,8627123292,Hike,2023-02-26T11:40:47Z,Hike,15910.5,14028,18572,389.8,"[53.533095, -1.992101]",activity_3278816160_strava.gpxddTXsa.gpx
26,8615676629,Run,2023-02-24T17:28:21Z,Run,9925.3,2879,2888,15.3,"[53.471832, -2.259933]",activity_3275096306_strava.gpxPN1Olr.gpx
27,8572343990,26 bridges,2023-02-16T17:11:09Z,Run,10197.2,3251,3409,57.0,"[53.471191, -2.260902]",activity_3259307600_strava.gpx658yFC.gpx
28,8538638590,16 bridges??,2023-02-10T17:49:10Z,Run,9851.0,3186,3254,18.8,"[53.471813, -2.26007]",activity_3247506232_strava.gpxHbtEbH.gpx
29,8531541446,Swim,2023-02-09T09:02:15Z,Swim,925.0,1446,1446,0,[],
30,8499482124,Run,2023-02-03T17:29:18Z,Run,10361.5,3079,3193,20.1,"[53.471049, -2.258619]",activity_3233634481_strava.gpxTOZMrA.gpx
31,8456745969,Run,2023-01-26T17:46:12Z,Run,7613.2,2500,2507,8.8,"[53.397044, -2.348595]",activity_3217896720_strava.gpxTqQ6sv.gpx
32,8427017983,Swim,2023-01-20T16:40:03Z,Swim,475.0,804,804,0,[],
33,8392924284,Run,2023-01-13T18:01:29Z,Run,8342.1,2615,2635,3.3,"[53.397188, -2.349011]",activity_3193319216_strava.gpxrksMz1.gpx
34,8348775752,First run of 2023,2023-01-06T18:32:54Z,Run,8378.0,2687,2770,3.3,"[53.397025, -2.348373]",activity_3176604572_strava.gpxZ0uBya.gpx
35,8321941505,Hike,2023-01-01T14:21:19Z,Hike,10603.3,9147,11471,253.9,"[55.69198, -2.860663]",activity_3166045976_strava.gpxGRKJJE.gpx
36,8310604269,Hike,2022-12-29T12:14:08Z,Hike,15662.2,11397,14192,398.2,"[53.269263, -2.765011]",activity_3162205590_strava.gpxXXeVF2.gpx
37,8310603877,Swim,2022-12-28T11:33:14Z,Swim,475.0,-1010,-1010,0,[],
38,8023674560,Run,2022-10-25T17:18:29Z,Run,10584.8,3377,3474,58.5,"[53.397188, -2.348622]",activity_3053347448_strava.gpxiSyXL7.gpx
39,8008726196,Run,2022-10-23T17:09:43Z,Run,11004.9,3289,3313,56.5,"[53.397138, -2.348911]",activity_3047980853_strava.gpxTryidb.gpx
40,7998507127,Run,2022-10-21T17:46:28Z,Run,10440.5,3205,3290,56.7,"[53.397162, -2.348759]",activity_3044782083_strava.gpxFsbnb3.gpx
41,7983401945,Run,2022-10-18T17:29:02Z,Run,10473.5,3152,3317,56.6,"[53.397228, -2.34912]",activity_3039010631_strava.gpxHfzGA3.gpx
42,7962653378,Run,2022-10-14T17:27:33Z,Run,10757.3,3263,3366,56.7,"[53.396935, -2.348289]",activity_3031993192_strava.gpxVNptkk.gpx
43,7931216387,Swim,2022-10-08T13:25:20Z,Swim,675.0,781,781,0.0,[],
44,7866373879,Hike,2022-09-25T14:31:18Z,Hike,11100.4,9090,11443,283.0,"[53.056138, -1.841823]",activity_2996072950_strava.gpxjwbueB.gpx
45,7866373708,Hike,2022-09-24T12:28:21Z,Hike,17922.3,11473,14817,466.1,"[53.05565, -1.782796]",activity_2996072933_strava.gpxlxFiys.gpx
46,7846103584,Swim,2022-09-20T13:17:59Z,Swim,375.0,922,922,0,[],
47,7805788003,Run,2022-09-13T18:02:43Z,Run,10649.6,3152,3230,56.3,"[53.396925, -2.348755]",activity_2975668775_strava.gpx5lH2p4.gpx
48,7805792126,Haystacks w/ Charlie,2022-09-10T13:15:34Z,Hike,15091.7,12288,16995,619.4,"[54.542199, -3.273837]",7060740162-1662812134-walk.tcx
49,7744523953,Run,2022-09-02T17:13:24Z,Run,10815.0,3203,3299,56.5,"[53.397184, -2.348791]",activity_2954899909_strava.gpxOEJ3DH.gpx
50,7726705060,Run,2022-08-30T17:50:30Z,Run,10481.8,3115,3181,56.6,"[53.397139, -2.349032]",activity_2948944176_strava.gpxyJkbyR.gpx
51,7726704094,Swim,2022-08-28T18:32:53Z,Swim,650.0,543,543,0.0,[],
52,7726703966,Swim,2022-08-27T16:48:42Z,Swim,850.0,656,656,0.0,[],
53,7695915282,5am 5k,2022-08-25T05:03:31Z,Run,5521.4,1676,1682,3.4,"[53.397125, -2.349045]",activity_2938745629_strava.gpxvpg6uM.gpx
54,7670849598,Run,2022-08-20T16:37:35Z,Run,10967.7,3434,3486,56.3,"[53.397197, -2.349079]",activity_2930676268_strava.gpxHCwQXs.gpx
55,7666577199,Swim,2022-08-14T16:04:51Z,Swim,1400.0,1754,1754,0,[],
56,7591063363,Swim,2022-08-06T11:46:40Z,Swim,800.0,1235,1235,0,[],
57,7550091698,Run,2022-07-29T18:04:34Z,Run,10724.6,3283,3366,58.0,"[53.397099, -2.349241]",activity_2891571182_strava.gpxMxbqN0.gpx
58,7481001472,Walk,2022-07-16T12:38:03Z,Walk,12165.1,6553,12795,58.9,"[54.601805, -3.160499]",activity_2868143189_strava.gpxLkyV81.gpx
