,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,8374224844,Run,2023-01-11T12:32:21Z,Run,3259.5,1093,1096,8.3,"[51.309705432504416, 1.0431868582963943]",e9e7268e-e200-4ab6-a9c3-aec133497b50-activity.fit
1,8351602371,Rain run,2023-01-07T10:47:47Z,Run,5052.0,1770,1783,12.2,"[51.309020798653364, 1.0449950862675905]",02091c2a-6788-4565-a529-0290f81c634f-activity.fit
2,8336580788,Run,2023-01-04T13:06:36Z,Run,4637.0,1775,1797,11.5,"[51.311631593853235, 1.0451402608305216]",908c6085-4167-447d-960b-68ae6e663963-activity.fit
3,8325076063,2023,2023-01-02T11:53:02Z,Run,4412.5,1496,1699,11.1,"[51.30973451770842, 1.0434726811945438]",4434564b-e09e-4843-b07d-2bcd526a9c32-activity.fit
4,8315531052,NYE,2022-12-31T11:27:04Z,Run,2751.0,846,868,4.1,"[51.30903194658458, 1.0449469741433859]",613cfb2d-44d5-4db6-9bf0-737f09124305-activity.fit
5,8306302595,Run,2022-12-29T11:26:36Z,Run,4527.2,1592,1595,11.0,"[51.30902054719627, 1.0450322180986404]",3afc1e87-616f-4f49-a3de-d15cbe556a48-activity.fit
6,8296739586,Run,2022-12-27T10:20:06Z,Run,4557.8,1625,1643,10.7,"[51.308897165581584, 1.0449636541306973]",d78244c6-7b09-438b-a5b3-4bea7c328ba8-activity.fit
7,8274272356,Wednesday run ,2022-12-21T12:04:23Z,Run,4378.2,1579,1603,10.6,"[51.3090309407562, 1.045042360201478]",81d395d3-528f-400a-bf41-cc65e300c35c-activity.fit
8,8231481817,5k,2022-12-10T13:13:28Z,Run,5095.4,1988,2002,9.0,"[51.32085118442774, 1.0435525607317686]",10852923-e7d0-4436-81fd-72a3dd42aac7-activity.fit
9,8214438524,Run to my car,2022-12-06T12:08:20Z,Run,4600.5,1796,1811,26.1,"[51.29053769633174, 1.061982437968254]",1952f95d-f33b-419e-a8aa-7b88982dba3f-activity.fit
10,8202109034,Run towards Gosforth ,2022-12-03T14:28:52Z,Run,2586.4,977,1140,20.6,"[54.98986065387726, -1.6253627557307482]",b586979c-bac8-45f0-9ff9-4618ec379e95-activity.fit
11,8193289105,The moor,2022-12-01T12:35:59Z,Run,5032.7,1863,1969,20.2,"[54.993648771196604, -1.6095512174069881]",3e502cac-5a6e-46ca-8b75-07d994506ce0-activity.fit
12,8184353927,5k For Matthew ,2022-11-29T12:02:10Z,Run,5017.9,1962,2066,32.5,"[54.998568361625075, -1.5992480982095003]",0dabcceb-9ca5-4e77-8dfa-4b0ca225e6a6-activity.fit
13,8136115768,Run3,2022-11-18T18:36:55Z,Run,1911.2,658,668,6.0,"[51.30898634903133, 1.044890396296978]",e70b3ce5-3888-4f2f-8dd7-850971b7a1cc-activity.fit
14,8127058544,Run2,2022-11-16T17:14:20Z,Run,2838.9,966,983,9.2,"[51.30884326994419, 1.0448470618575811]",4985223f-81e5-4284-8e13-adf1448f1cc1-activity.fit
15,8116543200,Run1,2022-11-14T12:47:50Z,Run,3587.7,1291,1325,0.0,"[51.3832913339138, -2.383022680878639]",ba32764e-5437-4b2c-8800-5122beeb4242-activity.fit
