,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,9384271866,Morning Run,2023-07-04T07:12:12Z,Run,4357.3,1365,1369,30.9,"[31.957644252106547, 35.92575380578637]",garmin_ping_282732676572
1,9363461199,Afternoon Run,2023-06-30T17:32:38Z,Run,5503.3,1775,1829,37.8,"[51.455335384234786, -0.11226452887058258]",garmin_ping_282170840132
2,9350742764,Afternoon Run,2023-06-28T15:18:27Z,Run,5760.5,1837,1841,35.5,"[52.93353086337447, 1.2958135642111301]",garmin_ping_281837659805
3,9302330600,Evening Run,2023-06-20T19:36:10Z,Run,8458.7,2802,2805,85.5,"[31.95769035257399, 35.92558667063713]",fca829bc-c8fe-4cf8-957c-3d39242a05f3-activity.fit
4,9266529216,Night Run,2023-06-14T21:14:49Z,Run,8647.3,2952,2970,37.1,"[46.20730318129063, 6.160737471655011]",990ea503-6338-4ec0-8f01-40ae8c418976-activity.fit
5,9252303405,Evening Run,2023-06-12T18:54:23Z,Run,7131.5,2369,2369,81.3,"[31.957726646214724, 35.9259198512882]",08463123-ab2f-4871-81f3-9160b43eab7f-activity.fit
6,9230659687,Morning Run,2023-06-09T08:37:18Z,Run,5578.5,1835,1835,62.8,"[31.95772849023342, 35.925266398116946]",07e6b2ac-ec4d-4979-b62c-111fae41618c-activity.fit
7,9182586295,Afternoon Run,2023-06-01T17:57:16Z,Run,3505.2,1172,1172,44.8,"[31.958454698324203, 35.91802451759577]",afc01c50-e102-439e-9e0c-2173f7ddf1ed-activity.fit
8,9022491593,Evening Run,2023-05-06T19:16:17Z,Run,4980.0,1615,1615,57.1,"[31.957766376435757, 35.92543764039874]",4b17fca7-9a1b-463a-b76b-bc77b344aee3-activity.fit
9,8997454624,Amman sunset ,2023-05-02T19:18:03Z,Run,4987.0,1608,1632,54.0,"[31.957899816334248, 35.92456743121147]",c590b82c-88c2-4b84-ae9b-f35e1378a8db-activity.fit
10,8913702513,Evening Run,2023-04-18T19:11:12Z,Run,7009.6,2291,2291,82.7,"[31.957759587094188, 35.92527109198272]",9e14977a-5ca9-44ad-939e-23c4c41c37fa-activity.fit
11,8872585620,Evening Run,2023-04-11T18:55:29Z,Run,5368.3,1760,1761,54.1,"[31.95773628540337, 35.92587106861174]",15fa0207-09f0-409b-9404-5928d87cc3bb-activity.fit
12,8831495235,Amman area explore ,2023-04-04T18:42:09Z,Run,4136.0,1375,1375,43.9,"[31.958308098837733, 35.92317754402757]",dcc08775-6342-424b-a626-ff46edd0270d-activity.fit
