,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,9366060151,Battling Zeus himself,2023-07-01T09:42:33Z,Run,5181.7,1563,1609,82.6,"[38.404822116717696, 20.559814972802997]",313201c8-9572-48d6-95c8-7adafb66a64a-activity.fit
1,9342292575,Questionable strides,2023-06-27T08:16:35Z,Run,3511.2,1232,1245,0.0,"[51.58915347419679, -0.06158452481031418]",bed473a1-92ac-480e-b25a-229d6724d915-activity.fit
2,9337493431,Endurance +1,2023-06-26T13:13:54Z,Run,6169.5,1563,1640,22.0,"[51.58788084983826, -0.05679812282323837]",ff49d712-75d8-45b4-8e43-c9e0a059f373-activity.fit
3,9276491363,Warm and hot,2023-06-16T13:22:39Z,Run,7055.1,2093,2886,13.3,"[51.58851385116577, -0.058736689388751984]",d576811a-f0b0-4af9-9984-990c0785cc94-activity.fit
4,9257289758,Afternoon Run,2023-06-13T13:17:41Z,Run,5852.5,1742,1762,36.9,"[51.588817443698645, -0.0562809593975544]",e191226e-0f97-43ed-85cb-8f9550aab5c6-activity.fit
5,9232724195,Fill of hills,2023-06-09T13:56:41Z,Run,8318.8,3584,4678,185.3,"[51.568238865584135, -4.0119527745991945]",3ff124de-294b-4e36-84b3-44be90ec543a-activity.fit
6,9226064569,Sun run,2023-06-08T13:05:15Z,Run,3171.1,878,894,7.4,"[51.588724069297314, -0.058632250875234604]",5107b20b-596c-4208-9998-80ad3fa63c99-activity.fit
7,9202585240,Beat by the heat,2023-06-04T15:29:36Z,Run,17864.9,5887,7183,19.3,"[51.58759854733944, -0.056793177500367165]",7af73efa-a204-4d05-a6f5-0fe693f8ed42-activity.fit
8,9180463084,Morning Run,2023-06-01T08:15:09Z,Run,5767.2,1623,1635,21.9,"[51.588863376528025, -0.05639554001390934]",dec7724f-3779-4156-9179-233d0055e500-activity.fit
9,9168991905,The bumblebees are back,2023-05-30T13:08:10Z,Run,7708.0,2372,2950,8.5,"[51.589038390666246, -0.05631222389638424]",6cce6b48-1fa2-497d-8e74-bee0dfc479b8-activity.fit
10,9150034796,Yikos,2023-05-27T10:55:32Z,Run,32191.9,11682,11730,64.3,"[51.58795092254877, -0.05659695714712143]",d3222b56-9aa0-44ab-b1ff-149cc7e2d70f-activity.fit
11,9143691881,Small tester,2023-05-26T13:40:40Z,Run,1658.4,499,554,0.0,"[51.59461394883692, -0.052577583119273186]",759ecfda-30ff-483d-852f-24b3b27bacc2-activity.fit
12,9125076363,Forgetful errands,2023-05-23T13:24:45Z,Run,7226.3,1997,2907,25.4,"[52.60251299478114, -2.189358975738287]",f2118f7a-44e6-43a5-b1c0-812275965bd7-activity.fit
13,9112565605,Aber falls,2023-05-21T10:49:12Z,Run,8222.4,4336,4839,389.4,"[53.20969898253679, -4.001582767814398]",0044753d-8de9-4f2c-a0c7-6a77512677bd-activity.fit
14,9093835164,Vest test,2023-05-18T12:58:51Z,Run,5038.0,1557,2484,14.7,"[51.58892682753503, -0.056567033752799034]",291098c5-2ab3-4a37-baef-733585ee982d-activity.fit
15,9075309615,Afternoony,2023-05-15T13:11:36Z,Run,2515.5,862,2167,2.2,"[51.588752483949065, -0.05746657960116863]",473d9189-269d-48a5-8a24-af96c7123d8a-activity.fit
16,9063481927,Tremendous,2023-05-13T12:58:58Z,Run,14894.8,4359,4588,63.6,"[51.58817849121988, -0.05934462882578373]",f260f83d-66cd-479d-9bf2-62f18eb6d6db-activity.fit
17,9052089898,Leisurely rain run,2023-05-11T13:40:54Z,Run,2870.4,795,1264,3.1,"[51.58863287419081, -0.05868111737072468]",4d7416e2-5807-439b-afa0-b0395d1c153e-activity.fit
18,9039360669,All fun and games until..,2023-05-09T13:06:11Z,Run,6745.1,1958,2980,37.5,"[51.58892917446792, -0.05657742731273174]",65c5a4e9-a716-4dc3-9a6f-deceac6a0e53-activity.fit
19,9028047671,Hills and heat,2023-05-07T13:20:51Z,Run,20646.3,6457,6936,265.8,"[51.58678608946502, -0.06365669891238213]",77a0dd93-563b-43c1-99c0-e55dfe3329b8-activity.fit
20,9008978360,Mod,2023-05-04T13:21:28Z,Run,7456.5,2012,2783,10.8,"[51.589040318503976, -0.056791752576828]",5a8a62dc-2c23-40c4-9fbd-2dcc975cc4d7-activity.fit
21,8996142039,Mound,2023-05-02T13:10:56Z,Run,6491.1,1803,1865,44.7,"[51.588346883654594, -0.05719559267163277]",849019ba-8cde-44be-9b1b-20c4bbe0b007-activity.fit
22,8966171187,Many song thrushes,2023-04-27T13:07:44Z,Run,10241.4,2711,2782,25.8,"[51.588919032365084, -0.05654624663293362]",f4db36ad-f204-41f2-9811-2a22b9aafdec-activity.fit
23,8960107512,Rusty,2023-04-26T13:16:05Z,Run,6770.4,1427,1495,29.2,"[51.588816521689296, -0.055851470679044724]",1f40d4b4-8c4a-49ca-a835-559638f36fcb-activity.fit
24,8918534969,Nice breeze,2023-04-19T13:01:32Z,Run,7617.0,2087,2146,33.9,"[51.58835065551102, -0.056919995695352554]",3a421696-e134-41cd-a526-8ff0e9770559-activity.fit
25,8906444752,Sinuses,2023-04-17T13:17:11Z,Run,2593.1,726,753,0.0,"[51.58706503920257, -0.0630374439060688]",dc93e23e-1af5-4bfb-9a91-d7650b0960e3-activity.fit
